Paper SL#,First author et al.,Paper Title,Journal/Conference name,Year,variables
1,Bhattacharya et al.,A Bayesian approach to modeling mortgage default and prepayment,European Journal of Operational Research,2019,"actualLoss, CLTVoriginal, channel, creditScore, currentLoanDelinquencyStatus, DebtToIncomeRatioOriginal, dueDateOfLastPaidInstallment, expenses, firstPaymentDate, firstTimeHomeBuyerFlag, interestRateCurrent, interestRateOriginal, legalCosts, loanAge, loanPurpose, loanSequenceNumber, loanTermOriginal, maintenanceAndPreservationCosts, maturityDate, metropolitanDivisionOrMSA, miRecoveries, miscellaneousExpenses, modificationCost, modificationFlag, monthlyReportingPeriod, mortgageInsurancePercentage, netSalesProceeds, nonMiRecoveries, numberOfBorrowers, numberOfUnits, occupancyStatus, postalCode, preHarpLoanSequenceNumber , prepaymentPenaltyMortgageFlag, productType, propertyState, propertyType, remainingMonthToLegalMaturity, repurchaseFlag, sellerName, servicerName, superConformingFlag, taxesAndInsurance, UPBactual, UPBdeferred, UPBoriginal, zeroBalanceCode, zeroBalanceEffectiveDate"
2,Greenwald,The mortgage credit channel of macroeconomic transmission,SSRN Electronic Journal,2018,"LTV, CLTV, paymentToIncome"
3,Kvamme et al.,Predicting mortgage default using convolutional neural networks,Elsevier:Expert Systems with Applications,2018,"creditScore, balanceCheckingAccount, balanceSavingsAccount"
4,Suk et al.,Liquidity crises in the mortgage market,Brookings Papers on Economic Activit,2018,"LTV, creditScore"
5,Fout et al.,Credit risk of low income mortgages,Elsevier:Regional Science and Urban Economics,2018,"creditScore, creditScoreOriginal, creditScoreCoborrower, CLTVoriginal, DebtToIncomeRatioOriginal, numberOfBorrowers, propertyState, postalCode, numberOfUnits, interestRateOriginal, UPBoriginal"
6,Wu et al.,Reducing residential mortgage default: Should policy act before or after home purchases?,PloS one,2018,"creditScore, interestRateCurrent, interestRateOriginal, DownPaymentRatio"
7,Liu and Fien ,"""Cure” Effects and Mortgage Default: A Split Population Survival Time Model",The Journal of Real Estate Finance and Economics,2018,"UPBactual, UPBoriginal, LTVoriginal, interestRateOriginal, creditScore"
8,"Karamon et al.,",Refinance and Mortgage Default: A Regression Discontinuity Analysis of HARP’s Impact on Default Rates,The Journal of Real Estate Finance and Economics,2017,"LTV, LTVoriginal, creditScore, UPBactual, UPBoriginal, propertyState, DebtToIncomeRatioOriginal, interestRateCurrent, creditScoreOriginal"
9,"Sirignano et al.,",Deep learning for mortgage risk.,,2016,"creditScore, DebtToIncomeRatioOriginal, loanTermOriginal, LTVoriginal, interestRateOriginal, UPBoriginal, productType, propertyType, prepaymentPenaltyMortgageFlag, postalCode, propertyState, interestRateCurrent"
10,"Sousa et al.,", A new dynamic modeling framework for credit risk assessment,Expert Systems With Applications,2016,"postalCode, numberOfUnits, occupancyStatus, propertyState"
11,"Chan et al.,",Determinants of mortgage default and consumer credit use: the effects of foreclosure laws and foreclosure delays,"Journal of Money, Credit and Banking",2016,"creditScore, LTV, currentLoanDelinquencyStatus"
