,frequency
actualLoss,1
CLTVoriginal,8
channel,1
creditScore,26
currentLoanDelinquencyStatus,4
DebtToIncomeRatioOriginal,6
dueDateOfLastPaidInstallment,1
expenses,1
firstPaymentDate,1
firstTimeHomeBuyerFlag,1
interestRateCurrent,9
interestRateOriginal,10
legalCosts,1
loanAge,6
loanPurpose,3
loanSequenceNumber,1
loanTermOriginal,2
maintenanceAndPreservationCosts,1
maturityDate,1
metropolitanDivisionOrMSA,1
miRecoveries,1
miscellaneousExpenses,1
modificationCost,1
modificationFlag,3
monthlyReportingPeriod,1
mortgageInsurancePercentage,1
netSalesProceeds,1
nonMiRecoveries,1
numberOfBorrowers,5
numberOfUnits,4
occupancyStatus,3
postalCode,7
preHarpLoanSequenceNumber,2
prepaymentPenaltyMortgageFlag,3
productType,3
propertyState,8
propertyType,2
remainingMonthToLegalMaturity,1
repurchaseFlag,1
sellerName,1
servicerName,1
superConformingFlag,1
taxesAndInsurance,1
UPBactual,5
UPBdeferred,1
UPBoriginal,8
zeroBalanceCode,1
zeroBalanceEffectiveDate,1
LTV,20
CLTV,6
paymentToIncome,3
balanceCheckingAccount,1
balanceSavingsAccount,1
creditScoreOriginal,12
creditScoreCoborrower,1
DownPaymentRatio,1
LTVoriginal,13
DebtToIncomeRatioCurrent,3
