,support,itemsets
0,0.24242424242424243,frozenset({'CLTVoriginal'})
1,0.7878787878787878,frozenset({'creditScore'})
2,0.12121212121212122,frozenset({'currentLoanDelinquencyStatus'})
3,0.18181818181818182,frozenset({'DebtToIncomeRatioOriginal'})
4,0.2727272727272727,frozenset({'interestRateCurrent'})
5,0.30303030303030304,frozenset({'interestRateOriginal'})
6,0.18181818181818182,frozenset({'loanAge'})
7,0.09090909090909091,frozenset({'loanPurpose'})
8,0.06060606060606061,frozenset({'loanTermOriginal'})
9,0.09090909090909091,frozenset({'modificationFlag'})
10,0.15151515151515152,frozenset({'numberOfBorrowers'})
11,0.12121212121212122,frozenset({'numberOfUnits'})
12,0.09090909090909091,frozenset({'occupancyStatus'})
13,0.21212121212121213,frozenset({'postalCode'})
14,0.06060606060606061,frozenset({'preHarpLoanSequenceNumber'})
15,0.09090909090909091,frozenset({'prepaymentPenaltyMortgageFlag'})
16,0.09090909090909091,frozenset({'productType'})
17,0.24242424242424243,frozenset({'propertyState'})
18,0.06060606060606061,frozenset({'propertyType'})
19,0.15151515151515152,frozenset({'UPBactual'})
20,0.24242424242424243,frozenset({'UPBoriginal'})
21,0.6060606060606061,frozenset({'LTV'})
22,0.18181818181818182,frozenset({'CLTV'})
23,0.09090909090909091,frozenset({'paymentToIncome'})
24,0.36363636363636365,frozenset({'creditScoreOriginal'})
25,0.3939393939393939,frozenset({'LTVoriginal'})
26,0.09090909090909091,frozenset({'DebtToIncomeRatioCurrent'})
27,0.24242424242424243,"frozenset({'creditScore', 'CLTVoriginal'})"
28,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'CLTVoriginal'})"
29,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'CLTVoriginal'})"
30,0.09090909090909091,"frozenset({'interestRateCurrent', 'CLTVoriginal'})"
31,0.12121212121212122,"frozenset({'CLTVoriginal', 'interestRateOriginal'})"
32,0.09090909090909091,"frozenset({'loanAge', 'CLTVoriginal'})"
33,0.06060606060606061,"frozenset({'CLTVoriginal', 'loanPurpose'})"
34,0.12121212121212122,"frozenset({'numberOfBorrowers', 'CLTVoriginal'})"
35,0.06060606060606061,"frozenset({'numberOfUnits', 'CLTVoriginal'})"
36,0.06060606060606061,"frozenset({'occupancyStatus', 'CLTVoriginal'})"
37,0.09090909090909091,"frozenset({'postalCode', 'CLTVoriginal'})"
38,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'CLTVoriginal'})"
39,0.09090909090909091,"frozenset({'propertyState', 'CLTVoriginal'})"
40,0.06060606060606061,"frozenset({'UPBactual', 'CLTVoriginal'})"
41,0.12121212121212122,"frozenset({'UPBoriginal', 'CLTVoriginal'})"
42,0.12121212121212122,"frozenset({'LTV', 'CLTVoriginal'})"
43,0.12121212121212122,"frozenset({'CLTV', 'CLTVoriginal'})"
44,0.21212121212121213,"frozenset({'creditScoreOriginal', 'CLTVoriginal'})"
45,0.06060606060606061,"frozenset({'LTVoriginal', 'CLTVoriginal'})"
46,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'CLTVoriginal'})"
47,0.12121212121212122,"frozenset({'currentLoanDelinquencyStatus', 'creditScore'})"
48,0.15151515151515152,"frozenset({'DebtToIncomeRatioOriginal', 'creditScore'})"
49,0.21212121212121213,"frozenset({'interestRateCurrent', 'creditScore'})"
50,0.2727272727272727,"frozenset({'creditScore', 'interestRateOriginal'})"
51,0.15151515151515152,"frozenset({'loanAge', 'creditScore'})"
52,0.06060606060606061,"frozenset({'creditScore', 'loanPurpose'})"
53,0.06060606060606061,"frozenset({'loanTermOriginal', 'creditScore'})"
54,0.06060606060606061,"frozenset({'modificationFlag', 'creditScore'})"
55,0.12121212121212122,"frozenset({'numberOfBorrowers', 'creditScore'})"
56,0.06060606060606061,"frozenset({'numberOfUnits', 'creditScore'})"
57,0.06060606060606061,"frozenset({'occupancyStatus', 'creditScore'})"
58,0.15151515151515152,"frozenset({'postalCode', 'creditScore'})"
59,0.06060606060606061,"frozenset({'preHarpLoanSequenceNumber', 'creditScore'})"
60,0.09090909090909091,"frozenset({'creditScore', 'prepaymentPenaltyMortgageFlag'})"
61,0.06060606060606061,"frozenset({'productType', 'creditScore'})"
62,0.21212121212121213,"frozenset({'propertyState', 'creditScore'})"
63,0.06060606060606061,"frozenset({'propertyType', 'creditScore'})"
64,0.12121212121212122,"frozenset({'UPBactual', 'creditScore'})"
65,0.21212121212121213,"frozenset({'UPBoriginal', 'creditScore'})"
66,0.45454545454545453,"frozenset({'LTV', 'creditScore'})"
67,0.15151515151515152,"frozenset({'CLTV', 'creditScore'})"
68,0.36363636363636365,"frozenset({'creditScoreOriginal', 'creditScore'})"
69,0.36363636363636365,"frozenset({'LTVoriginal', 'creditScore'})"
70,0.09090909090909091,"frozenset({'DebtToIncomeRatioCurrent', 'creditScore'})"
71,0.09090909090909091,"frozenset({'interestRateCurrent', 'currentLoanDelinquencyStatus'})"
72,0.09090909090909091,"frozenset({'currentLoanDelinquencyStatus', 'interestRateOriginal'})"
73,0.06060606060606061,"frozenset({'loanAge', 'currentLoanDelinquencyStatus'})"
74,0.06060606060606061,"frozenset({'modificationFlag', 'currentLoanDelinquencyStatus'})"
75,0.06060606060606061,"frozenset({'numberOfBorrowers', 'currentLoanDelinquencyStatus'})"
76,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'postalCode'})"
77,0.06060606060606061,"frozenset({'currentLoanDelinquencyStatus', 'propertyState'})"
78,0.06060606060606061,"frozenset({'UPBactual', 'currentLoanDelinquencyStatus'})"
79,0.06060606060606061,"frozenset({'UPBoriginal', 'currentLoanDelinquencyStatus'})"
80,0.09090909090909091,"frozenset({'currentLoanDelinquencyStatus', 'LTV'})"
81,0.06060606060606061,"frozenset({'LTVoriginal', 'currentLoanDelinquencyStatus'})"
82,0.12121212121212122,"frozenset({'interestRateCurrent', 'DebtToIncomeRatioOriginal'})"
83,0.12121212121212122,"frozenset({'DebtToIncomeRatioOriginal', 'interestRateOriginal'})"
84,0.06060606060606061,"frozenset({'loanAge', 'DebtToIncomeRatioOriginal'})"
85,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'loanPurpose'})"
86,0.06060606060606061,"frozenset({'loanTermOriginal', 'DebtToIncomeRatioOriginal'})"
87,0.06060606060606061,"frozenset({'modificationFlag', 'DebtToIncomeRatioOriginal'})"
88,0.09090909090909091,"frozenset({'numberOfBorrowers', 'DebtToIncomeRatioOriginal'})"
89,0.09090909090909091,"frozenset({'numberOfUnits', 'DebtToIncomeRatioOriginal'})"
90,0.12121212121212122,"frozenset({'postalCode', 'DebtToIncomeRatioOriginal'})"
91,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'prepaymentPenaltyMortgageFlag'})"
92,0.09090909090909091,"frozenset({'productType', 'DebtToIncomeRatioOriginal'})"
93,0.15151515151515152,"frozenset({'propertyState', 'DebtToIncomeRatioOriginal'})"
94,0.06060606060606061,"frozenset({'propertyType', 'DebtToIncomeRatioOriginal'})"
95,0.06060606060606061,"frozenset({'UPBactual', 'DebtToIncomeRatioOriginal'})"
96,0.12121212121212122,"frozenset({'UPBoriginal', 'DebtToIncomeRatioOriginal'})"
97,0.06060606060606061,"frozenset({'DebtToIncomeRatioOriginal', 'LTV'})"
98,0.06060606060606061,"frozenset({'creditScoreOriginal', 'DebtToIncomeRatioOriginal'})"
99,0.09090909090909091,"frozenset({'LTVoriginal', 'DebtToIncomeRatioOriginal'})"
100,0.21212121212121213,"frozenset({'interestRateCurrent', 'interestRateOriginal'})"
101,0.12121212121212122,"frozenset({'loanAge', 'interestRateCurrent'})"
102,0.06060606060606061,"frozenset({'interestRateCurrent', 'loanPurpose'})"
103,0.06060606060606061,"frozenset({'interestRateCurrent', 'loanTermOriginal'})"
104,0.09090909090909091,"frozenset({'interestRateCurrent', 'modificationFlag'})"
105,0.09090909090909091,"frozenset({'interestRateCurrent', 'numberOfBorrowers'})"
106,0.06060606060606061,"frozenset({'interestRateCurrent', 'numberOfUnits'})"
107,0.12121212121212122,"frozenset({'interestRateCurrent', 'postalCode'})"
108,0.06060606060606061,"frozenset({'interestRateCurrent', 'prepaymentPenaltyMortgageFlag'})"
109,0.09090909090909091,"frozenset({'productType', 'interestRateCurrent'})"
110,0.12121212121212122,"frozenset({'interestRateCurrent', 'propertyState'})"
111,0.06060606060606061,"frozenset({'propertyType', 'interestRateCurrent'})"
112,0.09090909090909091,"frozenset({'UPBactual', 'interestRateCurrent'})"
113,0.15151515151515152,"frozenset({'UPBoriginal', 'interestRateCurrent'})"
114,0.15151515151515152,"frozenset({'interestRateCurrent', 'LTV'})"
115,0.09090909090909091,"frozenset({'creditScoreOriginal', 'interestRateCurrent'})"
116,0.15151515151515152,"frozenset({'LTVoriginal', 'interestRateCurrent'})"
117,0.09090909090909091,"frozenset({'loanAge', 'interestRateOriginal'})"
118,0.06060606060606061,"frozenset({'loanTermOriginal', 'interestRateOriginal'})"
119,0.06060606060606061,"frozenset({'modificationFlag', 'interestRateOriginal'})"
120,0.09090909090909091,"frozenset({'numberOfBorrowers', 'interestRateOriginal'})"
121,0.06060606060606061,"frozenset({'numberOfUnits', 'interestRateOriginal'})"
122,0.12121212121212122,"frozenset({'postalCode', 'interestRateOriginal'})"
123,0.06060606060606061,"frozenset({'prepaymentPenaltyMortgageFlag', 'interestRateOriginal'})"
124,0.06060606060606061,"frozenset({'productType', 'interestRateOriginal'})"
125,0.15151515151515152,"frozenset({'propertyState', 'interestRateOriginal'})"
126,0.06060606060606061,"frozenset({'propertyType', 'interestRateOriginal'})"
127,0.09090909090909091,"frozenset({'UPBactual', 'interestRateOriginal'})"
128,0.18181818181818182,"frozenset({'UPBoriginal', 'interestRateOriginal'})"
129,0.15151515151515152,"frozenset({'LTV', 'interestRateOriginal'})"
130,0.09090909090909091,"frozenset({'creditScoreOriginal', 'interestRateOriginal'})"
131,0.18181818181818182,"frozenset({'LTVoriginal', 'interestRateOriginal'})"
132,0.06060606060606061,"frozenset({'DebtToIncomeRatioCurrent', 'interestRateOriginal'})"
133,0.09090909090909091,"frozenset({'loanAge', 'loanPurpose'})"
134,0.09090909090909091,"frozenset({'loanAge', 'modificationFlag'})"
135,0.09090909090909091,"frozenset({'loanAge', 'numberOfBorrowers'})"
136,0.06060606060606061,"frozenset({'loanAge', 'numberOfUnits'})"
137,0.06060606060606061,"frozenset({'loanAge', 'occupancyStatus'})"
138,0.06060606060606061,"frozenset({'loanAge', 'postalCode'})"
139,0.06060606060606061,"frozenset({'loanAge', 'preHarpLoanSequenceNumber'})"
